Русанівка,9.0
Голосіїв,8.9
Теремки-2,8.9
Оболонь,8.8
Лук'янівка,8.8
Мінський Масив,8.3
Харківський Масив,8.1
Оболонський,8.0
Микільська Борщагівка,8.0
Поділ,8.0
ДВС (Водогін),7.9
Сирець,7.9
Солом'янка,7.8
ВДНГ,7.7
Микільська Слобідка,7.7
Шевченківський,7.7
Голосіївський,7.7
Лісовий Масив,7.7
Чоколівка,7.7
Святошин,7.6
Теремки-1,7.5
Осокорки,7.5
Феофанія,7.5
Нивки,7.5
Академмістечко,7.5
Караваєві Дачі,7.5
Солом'янський,7.4
Західні Позняки,7.4
Ґалаґани,7.3
Виноградар,7.3
Шулявка,7.3
Михайлівська Борщагівка,7.3
Татарка,7.3
ДВРЗ,7.3
Китаїв,7.3
Дніпровський,7.2
Дарницький,7.2
Святошинський,7.1
Деміївка,7.0
Новобіличі,7.0
Солдатська Слобідка,7.0
Корчувате,7.0
Пуща-Водиця,7.0
Пирогів,6.9
Подільський,6.9
Лівобережний Масив,6.9
Біличі,6.9
Стара Дарниця,6.9
Куренівка,6.8
Нова забудова,6.8
Проспект Науки,6.7
Північно-Броварський Масив,6.7
Авіамістечко,6.7
Мишоловка,6.6
Кадетський Гай,6.6
Нижня Теличка,6.6
Березняки,6.6
Кудрявець,6.6
Південна Борщагівка,6.6
Відрадний,6.5
Конча-Заспа,6.5
Пріорка,6.4
Братська Борщагівка,6.4
Деснянський,6.4
Соцмісто,6.3
Паньківщина,6.2
Добрий Шлях,6.1
Новокараваєві дачі,6.1
Троєщина,6.1
Вітряні Гори,6.1
Звіринець,6.0
Східні Позняки,6.0
Вигурівщина-Троєщина,6.0
Борщагівка,6.0
Вишгородський Масив,5.9
Печерський,5.9
Видубичі,5.8
Чорна Гора,5.7
Першотравневий Масив,5.7
Клов,5.7
Олександрівська Слобідка,5.6
Квітництво,5.6
Батиєва Гора,5.5
Дарницький Масив,5.4
Мостицький Масив,5.4
Залізнична колонія,5.3
Липки,5.3
Гідропарк,5.3
Нова Дарниця,5.2
Біличе Поле,5.1
Воскресенка,5.1
Печерськ,5.0
Забайків'я,5.0
Грушки,5.0
Залізничний Масив,4.9
Берковець,4.8
Райдужний Масив,4.8
Перемога,4.7
Волейків,4.7
Жовтневе,4.5
Північні Осокорки,4.3
Теличка,4.3
Монтажник,4.2
Совки,4.1
Саперна Слобідка,4.1
Биківня,3.9
Бортничі,3.9
Петрівка,3.8
Саперне Поле,2.9
Покол,2.3
Русанівські Сади,2.0
Рембаза,1.5
Труханів Острів,1.0
Пронівщина,1.0
